"","Sunitinib_5","Pazopanib_199","Axitinib_1021","Cabozantinib_249","Temsirolimus_1016"
"TCGA-B8-4143-01",11.719445357387,26.1526807366038,4.50936196627147,7.00356231306758,0.0947417391206658
"TCGA-BP-4994-01",29.6905116383903,52.9265233269419,14.5262166512594,27.484281059029,0.268643548597415
"TCGA-BP-4777-01",12.841598611852,29.3022508698286,10.0896468742582,17.8182134255054,0.0953034160382305
"TCGA-BP-4354-01",6.07508430042392,15.3440579568716,3.03668973741012,7.38884400706405,0.0600529540515469
"TCGA-BP-4355-01",15.8318535217205,22.367976961024,6.55627807894023,12.6250818543164,0.139316584323812
"TCGA-A3-3346-01",21.33541266434,32.9697738690782,9.74273967690328,22.5095401046108,0.0690208721102251
"TCGA-A3-3365-01",14.8058192299563,17.573261981531,5.6232600480981,16.2079387610701,0.100693729218767
"TCGA-B0-4824-01",13.1319494015117,32.637668163528,10.0877060535674,15.3534688144361,0.129516113058157
"TCGA-G6-A8L6-01",18.8298435447507,21.6941461587513,8.2562694029373,14.3186117994361,0.160322358168723
"TCGA-A3-3323-01",8.02324218654112,21.8264674590027,6.01358385106173,10.7635026973854,0.156015220536362
"TCGA-EU-5905-01",13.5014776922637,33.2198706014231,6.49463522845719,11.8078989505279,0.162946703910987
"TCGA-BP-5196-01",13.9190389019686,19.6233140362367,7.1404390539395,9.03691949660044,0.120182079505378
"TCGA-CJ-5675-01",17.3328698493394,32.8318485645137,13.0008024364711,19.2023455301463,0.13451828570806
